Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,34.7501,-84.3885,1050,0.04,10.46,29.66,5.95,15.92,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,34.7501,-84.3885,1050,0.04,11.22,30.19,5.39,17.8,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,34.7501,-84.3885,1050,0.07,12.28,30.89,7.38,18.9,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,34.7501,-84.3885,1050,0.08,4.34,28.82,8.82,15.05,-1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,34.7501,-84.3885,1050,0.15,-6.88,24.88,12.16,6.72,-6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000106,34.7501,-84.3885,1050,0.14,-4.38,22.95,12.63,9.92,-3.57,0,1,0,1,1,0,1,1,1,1,1,0,1,9,0.692307692
20000107,34.7501,-84.3885,1050,0.28,-3.48,22.12,12.41,10.08,-3.21,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0.153846154
20000108,34.7501,-84.3885,1050,0.06,-1.32,27.31,6.11,9.07,-2.63,1,1,1,1,0,0,1,1,0,1,0,1,0,8,0.615384615
20000109,34.7501,-84.3885,1050,0.08,9,29.19,2,13.74,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000110,34.7501,-84.3885,1050,0.08,5.19,24.83,12.9,14.28,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,34.7501,-84.3885,1050,0.37,0.25,22.97,13.03,12.59,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,34.7501,-84.3885,1050,0.3,4.86,24.76,12.89,17.16,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000113,34.7501,-84.3885,1050,0.12,2.22,25.31,12.58,12.54,-2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
