Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,42.3555,-71.0565,141,0.73,-2.11,22.33,6.95,5.37,-6.89,1,1,0,1,1,1,0,1,1,1,0,0,1,9,0.692307692
20000102,42.3555,-71.0565,141,0.66,3.96,26.18,2.12,7.86,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,42.3555,-71.0565,141,0.6,6.85,28.18,5.38,10.32,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,42.3555,-71.0565,141,0.89,9.18,25.57,1.21,14.23,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,42.3555,-71.0565,141,1.17,-5.28,20.44,8.71,5.6,-6.89,1,1,1,1,1,1,1,0,1,1,1,0,0,10,0.769230769
20000106,42.3555,-71.0565,141,0.7,-7.55,23.26,4.99,0.89,-6.97,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0.153846154
20000107,42.3555,-71.0565,141,0.87,-0.62,22.44,3.49,3.61,-1.78,1,1,0,0,1,0,0,1,1,1,0,0,1,7,0.538461538
20000108,42.3555,-71.0565,141,0.88,-5.59,19.36,8.48,1.85,-4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000109,42.3555,-71.0565,141,0.96,-1.3,22.45,6.75,6.27,-2.25,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000110,42.3555,-71.0565,141,1.14,3.63,23.78,2.23,9.55,0.07,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000111,42.3555,-71.0565,141,1.39,1.96,24.08,4.04,9.49,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,42.3555,-71.0565,141,1.5,-4.81,21.7,8.83,3.13,-3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000113,42.3555,-71.0565,141,1.16,-8.43,24.35,1.38,-2.19,-10.47,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000114,42.3555,-71.0565,141,1.73,-16.61,21.47,6.38,-9.96,-15.17,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0.230769231
20000115,42.3555,-71.0565,141,1,-17.4,19.02,6.87,-7.64,-17.31,0,0,0,0,1,0,0,1,0,1,0,1,1,5,0.384615385
20000116,42.3555,-71.0565,141,1.58,-6.37,22.32,2.35,2.92,-11.99,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000117,42.3555,-71.0565,141,2.14,-18.2,17.9,6.83,-10.48,-17.41,0,0,1,0,0,1,1,0,0,0,0,1,0,4,0.307692308
20000118,42.3555,-71.0565,141,1.04,-15.93,17.35,8.82,-6.8,-18.23,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000119,42.3555,-71.0565,141,0.9,-14.64,16.3,8.54,-6,-14.77,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000120,42.3555,-71.0565,141,0.9,-11.35,20.98,3.36,-6.5,-13.91,1,1,0,1,1,1,1,1,1,1,1,0,1,11,0.846153846
20000121,42.3555,-71.0565,141,2.07,-13.96,19.06,6.58,-8.55,-15.98,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000122,42.3555,-71.0565,141,1.81,-18.51,16.33,9.16,-11.37,-18.08,0,0,1,0,0,1,1,0,0,1,1,1,1,7,0.538461538
20000123,42.3555,-71.0565,141,0.61,-15.02,18.99,6.93,-6.18,-17.03,1,1,0,1,1,1,1,1,1,1,1,0,1,11,0.846153846
20000124,42.3555,-71.0565,141,0.82,-7.74,21.75,6.3,1.41,-10.65,1,1,0,1,1,1,0,1,1,1,1,0,1,10,0.769230769
20000125,42.3555,-71.0565,141,1.59,-4,21.02,1.63,-2.02,-5.3,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000126,42.3555,-71.0565,141,1.2,-6.56,19.91,6.29,-2.76,-10.4,1,1,1,1,1,1,1,1,1,1,1,0,1,12,0.923076923
20000127,42.3555,-71.0565,141,1.41,-12.3,15.96,10.05,-8.74,-14.47,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000128,42.3555,-71.0565,141,1.47,-14.58,16.19,10.23,-11.16,-16.05,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000129,42.3555,-71.0565,141,1.06,-12.06,15.79,10.65,-3.44,-15.78,1,1,1,1,1,1,1,1,1,1,1,0,1,12,0.923076923
20000130,42.3555,-71.0565,141,0.9,-8.09,19.4,8.48,2.31,-13.61,1,1,1,1,1,1,1,1,1,1,1,0,1,12,0.923076923
20000131,42.3555,-71.0565,141,1.4,-1.36,24.11,4.91,1.03,-4.22,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000201,42.3555,-71.0565,141,1.32,-5,20.75,10.32,-0.42,-6.6,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000202,42.3555,-71.0565,141,1.69,-10.63,15.55,10.42,-5.47,-10.87,1,1,0,0,1,0,0,1,1,1,0,0,1,7,0.538461538
20000203,42.3555,-71.0565,141,0.89,-11.23,18.62,8.85,-3.61,-15.53,1,1,0,1,1,1,0,1,1,1,1,0,1,10,0.769230769
20000204,42.3555,-71.0565,141,0.79,-7.9,19.25,7.95,-1.86,-9.02,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000205,42.3555,-71.0565,141,1.14,-6.72,17.64,12.27,-1.16,-7.72,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000206,42.3555,-71.0565,141,1.53,-7.91,16.3,12.04,-2.42,-8.01,1,1,0,0,1,0,0,1,1,1,0,0,1,7,0.538461538
20000207,42.3555,-71.0565,141,1.6,-5.17,19.81,9.83,2.41,-9.31,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000208,42.3555,-71.0565,141,1.08,-13.01,17.57,11.79,-3.29,-14.44,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000209,42.3555,-71.0565,141,1.49,-4.4,19.91,10.55,3.27,-10.68,1,1,1,1,1,1,1,1,1,1,1,0,1,12,0.923076923
20000210,42.3555,-71.0565,141,0.97,-1.08,24.65,11.03,4.59,-3.18,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000211,42.3555,-71.0565,141,0.95,0.07,24.59,2.44,3.38,-4.13,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000212,42.3555,-71.0565,141,1.01,-11.8,15.93,13.74,-1.19,-9.2,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000213,42.3555,-71.0565,141,0.67,-7.87,20.85,12.28,2.58,-9.71,1,1,0,0,1,0,0,1,1,1,0,0,1,7,0.538461538
20000214,42.3555,-71.0565,141,1.05,2.91,25.35,1.42,8.76,-1.34,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0.230769231
20000215,42.3555,-71.0565,141,1.36,-4.27,20.17,13.41,2.07,-4.83,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000216,42.3555,-71.0565,141,1.08,-1.33,25.25,6.72,5.79,-5.17,1,1,1,1,1,1,0,1,1,1,0,0,1,10,0.769230769
20000217,42.3555,-71.0565,141,1.55,-10.78,17.95,14.01,-0.26,-10.13,0,1,0,0,1,1,0,1,0,1,0,0,1,6,0.461538462
20000218,42.3555,-71.0565,141,0.86,-7.38,21.51,5.42,-1.01,-9.8,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000219,42.3555,-71.0565,141,1.32,-3.72,24.11,3.02,-1,-5.94,1,1,1,1,1,1,0,1,1,1,1,0,1,11,0.846153846
20000220,42.3555,-71.0565,141,1.05,-4.08,23.05,10.54,0.61,-6.64,1,1,1,1,1,1,0,1,1,1,0,0,1,10,0.769230769
20000221,42.3555,-71.0565,141,1.03,-4.84,19.12,14.33,1.29,-7.67,1,1,0,1,1,1,0,1,1,1,0,0,1,9,0.692307692
20000222,42.3555,-71.0565,141,0.89,-2.67,24.12,13.3,4.94,-6.72,1,1,1,1,1,0,1,1,1,1,1,0,1,11,0.846153846
20000223,42.3555,-71.0565,141,1.07,1.71,22.94,11.09,8.23,-1.73,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000224,42.3555,-71.0565,141,0.64,5.16,25.55,9.01,14.32,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000225,42.3555,-71.0565,141,1.18,1.5,26.14,1.15,3.87,0.16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000226,42.3555,-71.0565,141,0.74,1.92,25.27,2.77,5.6,0.18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000227,42.3555,-71.0565,141,0.75,6.52,27.5,7.86,14.29,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000228,42.3555,-71.0565,141,1.13,4.57,26.8,3.51,9.73,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000229,42.3555,-71.0565,141,1.6,-2.87,22.77,16.43,6.7,-1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000301,42.3555,-71.0565,141,0.57,0.24,24.62,11.09,7.58,-1.45,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000302,42.3555,-71.0565,141,1.02,-0.49,26.24,9.48,7.33,-0.06,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0.230769231
20000303,42.3555,-71.0565,141,1.76,-2.62,23.68,13.47,6.16,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000304,42.3555,-71.0565,141,1.17,-2.37,23.69,16.9,8.56,-1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000305,42.3555,-71.0565,141,0.93,-0.95,26.65,9.32,7.25,-2.28,1,1,0,1,1,0,1,1,1,1,1,0,1,10,0.769230769
20000306,42.3555,-71.0565,141,1.25,-2.86,21.54,17.9,7.2,-2.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000307,42.3555,-71.0565,141,0.8,0.15,25.92,11.32,11.08,-2.89,0,1,0,1,1,0,0,1,1,1,1,0,1,8,0.615384615
20000308,42.3555,-71.0565,141,0.7,2.08,26.26,13.5,11.68,-0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000309,42.3555,-71.0565,141,1.01,7.27,28.02,12,18.35,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000310,42.3555,-71.0565,141,1.1,-0.8,24.79,15.91,10.13,-1.03,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0.230769231
20000311,42.3555,-71.0565,141,1.16,-1.2,24.59,3.92,3.49,-1.73,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000312,42.3555,-71.0565,141,0.92,1.52,26.36,3.47,6.07,-0.83,0,1,0,0,0,0,0,1,0,1,0,0,1,4,0.307692308
20000313,42.3555,-71.0565,141,1.34,-6.16,19.28,17.93,1.69,-5.64,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000314,42.3555,-71.0565,141,1.03,-2.03,23.17,16.72,7.4,-4.86,1,1,0,1,1,1,0,1,1,1,1,0,1,10,0.769230769
20000315,42.3555,-71.0565,141,0.95,3.25,26.19,15.85,11.94,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000316,42.3555,-71.0565,141,0.94,7.37,26.17,12.97,16.14,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000317,42.3555,-71.0565,141,1.91,-3.33,24.54,3.82,1.67,-7.06,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000318,42.3555,-71.0565,141,1.25,-8.92,21.83,17.11,-1.15,-11.5,1,1,0,1,1,1,0,1,1,1,0,0,1,9,0.692307692
20000319,42.3555,-71.0565,141,1.11,-4.93,22.4,18.71,2.32,-7.01,1,1,0,1,1,0,0,1,1,1,1,0,1,9,0.692307692
20000320,42.3555,-71.0565,141,1.02,-1.01,26.11,13.72,3.78,-3.68,1,1,0,1,1,0,0,1,1,1,0,0,1,8,0.615384615
20000321,42.3555,-71.0565,141,1.07,1.09,26.24,8.25,5.07,0.45,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000322,42.3555,-71.0565,141,0.85,1.19,23.55,14.64,8.57,-1.17,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000323,42.3555,-71.0565,141,0.44,2.34,24.62,20.68,15.93,-1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000324,42.3555,-71.0565,141,0.64,1.88,24.77,21.14,14.28,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000325,42.3555,-71.0565,141,0.62,4.04,25.64,15.44,15.23,-0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000326,42.3555,-71.0565,141,0.72,4.49,25.08,20.93,14.46,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000327,42.3555,-71.0565,141,0.69,1.9,24.13,19.35,13.18,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000328,42.3555,-71.0565,141,1.07,6.68,26.95,5.17,13.54,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000329,42.3555,-71.0565,141,0.91,2.87,26.98,13.29,11.43,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000330,42.3555,-71.0565,141,0.75,1.36,25.81,17.77,9.92,1.07,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.076923077
20000331,42.3555,-71.0565,141,0.63,0.34,22.89,17.94,10.85,-2.18,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000401,42.3555,-71.0565,141,0.63,1.81,23.92,22.18,13.79,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000402,42.3555,-71.0565,141,0.71,6.23,28.33,13.84,13.36,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000403,42.3555,-71.0565,141,0.43,7.09,27.38,2.59,9.84,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000404,42.3555,-71.0565,141,0.83,10.56,27.61,5.12,17.67,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
