Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,34.0008,-81.0351,292,0.83,10.41,28.04,5.73,14.72,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,34.0008,-81.0351,292,1.18,11.62,29.27,7.53,21.1,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,34.0008,-81.0351,292,1.27,12.56,30.75,7.35,22.15,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,34.0008,-81.0351,292,2.42,12.58,30.72,2.98,22.01,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,34.0008,-81.0351,292,1.52,-2.18,22.48,12.36,9.67,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000106,34.0008,-81.0351,292,1.05,2.08,25.26,10.01,13.38,-2.8,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0.230769231
20000107,34.0008,-81.0351,292,1.2,3.71,21.32,11.78,14.77,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000108,34.0008,-81.0351,292,1.03,0.72,27.75,8.76,11.84,-1.06,0,1,0,0,0,1,0,1,0,1,0,0,0,4,0.307692308
20000109,34.0008,-81.0351,292,1.02,9.09,28.32,2.8,14.23,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000110,34.0008,-81.0351,292,2.2,10,25.69,10.48,17.87,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,34.0008,-81.0351,292,1.71,5.92,23.97,12.8,18.03,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,34.0008,-81.0351,292,1.07,6.25,26.57,12.58,18.97,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000113,34.0008,-81.0351,292,2.11,7.04,25.33,9.41,20.38,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000114,34.0008,-81.0351,292,1.86,-6.16,25.49,12.9,7.2,-1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000115,34.0008,-81.0351,292,1.09,-5.36,23.68,12.9,9.09,-5.32,0,1,0,0,1,0,0,1,0,0,0,0,1,4,0.307692308
20000116,34.0008,-81.0351,292,1.79,2.02,25.58,8.87,14.7,-1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000117,34.0008,-81.0351,292,1.48,-0.32,25.36,11.84,11.15,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000118,34.0008,-81.0351,292,1.26,-0.09,26.13,3.63,2.4,0.09,0,1,1,0,0,1,0,0,0,1,0,1,0,5,0.384615385
20000119,34.0008,-81.0351,292,1.08,0.41,25.76,7.59,7.09,0.58,0,1,0,0,0,1,0,1,0,1,0,1,0,5,0.384615385
20000120,34.0008,-81.0351,292,2.24,0.23,21.63,13.02,10.2,-2.52,0,1,0,0,0,1,0,1,0,1,0,0,1,5,0.384615385
20000121,34.0008,-81.0351,292,1.38,-8.18,19.24,13.86,5.92,-5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000122,34.0008,-81.0351,292,1.42,-5.6,23.39,3.69,4.04,-4.69,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0.230769231
20000123,34.0008,-81.0351,292,0.91,-0.35,21.79,2.61,1.41,-1.78,1,1,1,0,1,1,0,1,0,1,0,1,1,9,0.692307692
20000124,34.0008,-81.0351,292,2.8,-0.68,22.12,1.66,0.36,-1.56,1,1,1,1,1,1,1,1,0,1,0,1,1,11,0.846153846
20000125,34.0008,-81.0351,292,1.97,-1.57,21,11.88,0.32,-4.62,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000126,34.0008,-81.0351,292,1.52,-6.06,17.57,14.62,-0.68,-10.88,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000127,34.0008,-81.0351,292,1.22,-9.19,18.86,14.82,-1.14,-15.91,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000128,34.0008,-81.0351,292,1.26,-6.52,22,9.77,-1.29,-9.05,1,1,1,1,1,1,1,1,1,1,0,1,1,12,0.923076923
20000129,34.0008,-81.0351,292,2.26,-4.94,23.96,2.97,-2.51,-5.22,1,1,1,0,1,1,1,1,1,1,1,1,0,11,0.846153846
20000130,34.0008,-81.0351,292,1.35,-1.99,24.39,3.28,0.23,-4.5,1,1,1,1,1,1,1,1,1,1,0,1,1,12,0.923076923
20000131,34.0008,-81.0351,292,1.08,-2.62,19.16,12.65,0.16,-6.76,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000201,34.0008,-81.0351,292,1.12,-2.49,17.37,14.48,2.59,-6.36,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000202,34.0008,-81.0351,292,1.05,-4.87,17.92,15.72,5.47,-8.62,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000203,34.0008,-81.0351,292,1.56,-1.21,18.9,15.9,10.05,-5.08,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000204,34.0008,-81.0351,292,1.64,0.83,21.23,13.65,12.03,-0.07,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0.230769231
20000205,34.0008,-81.0351,292,1.23,-3.24,17.58,16.41,8.4,-3.65,1,1,1,1,1,1,1,1,1,0,1,1,1,12,0.923076923
20000206,34.0008,-81.0351,292,1.16,-1.95,20.72,16.3,10.63,-3.85,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000207,34.0008,-81.0351,292,0.99,1.04,21.78,15.19,12.69,-1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000208,34.0008,-81.0351,292,1.46,3.49,25.35,10.47,12.31,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000209,34.0008,-81.0351,292,1.3,3.25,19.63,17.04,14.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000210,34.0008,-81.0351,292,1.07,4.38,22.15,15.86,16.99,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000211,34.0008,-81.0351,292,1.6,10.4,25.71,16.24,19.85,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000212,34.0008,-81.0351,292,1.76,10.03,27.91,2.42,19.18,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000213,34.0008,-81.0351,292,1.46,3.44,22.52,3.57,7.93,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000214,34.0008,-81.0351,292,2.5,12.83,28.41,9.83,19.06,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000215,34.0008,-81.0351,292,1.06,3.78,25.18,17.39,15.14,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000216,34.0008,-81.0351,292,1.43,9.25,26.25,15.29,18.75,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
