Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,38.9072,-77.0369,410,1.71,2.68,27.1,7.76,8.45,-0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,38.9072,-77.0369,410,3.01,7.99,27.25,9.94,14.69,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,38.9072,-77.0369,410,2.71,11.29,29.89,6.76,15.56,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,38.9072,-77.0369,410,4.63,11.62,29.95,2.21,17.26,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,38.9072,-77.0369,410,4.14,-2.75,23.79,7.99,5.21,-2.21,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0.230769231
20000106,38.9072,-77.0369,410,2.42,-2.06,20.69,10.72,7,-2.83,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000107,38.9072,-77.0369,410,3.02,-1.72,20.76,9.99,9.65,-2.65,1,1,1,1,1,1,0,1,1,1,0,0,1,10,0.769230769
20000108,38.9072,-77.0369,410,1.82,-2.72,21.19,9.2,5.65,-2.97,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000109,38.9072,-77.0369,410,1.65,1.14,23.57,3.98,5.18,-1.74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076923077
20000110,38.9072,-77.0369,410,3.3,4.73,25.54,3.36,10.74,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,38.9072,-77.0369,410,5.45,0.24,23.78,8.43,10.35,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,38.9072,-77.0369,410,2.91,-2.73,23.08,10.71,7.33,-1.39,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.076923077
20000113,38.9072,-77.0369,410,5.81,-0.81,23.77,10.49,13.23,-4.13,1,1,1,0,1,1,0,1,1,1,0,0,1,9,0.692307692
20000114,38.9072,-77.0369,410,6.04,-10.06,20.01,11.38,-1.3,-6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000115,38.9072,-77.0369,410,2.66,-7.31,21.46,8.83,1.41,-5.22,0,1,0,0,0,1,0,1,0,1,0,0,0,4,0.307692308
20000116,38.9072,-77.0369,410,5.11,-2.17,20.56,10.84,10.89,-3.47,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000117,38.9072,-77.0369,410,6.05,-13.82,19.19,11.32,-4.19,-9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
