Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,29.7601,-95.3701,79,2.28,12.79,32.51,10.32,25.1,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,29.7601,-95.3701,79,3.41,17.81,34.3,8.25,25.66,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,29.7601,-95.3701,79,2.74,8,33.7,9.18,23.48,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,29.7601,-95.3701,79,3.49,-3.78,28.37,14.23,11.34,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,29.7601,-95.3701,79,1.7,-1.77,26.01,14.1,14.59,-2.54,1,0,1,0,0,1,0,0,1,0,0,1,0,5,0.384615385
20000106,29.7601,-95.3701,79,2.26,11.56,34.07,4.46,17.01,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000107,29.7601,-95.3701,79,3,9.42,33.2,5.13,17.1,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000108,29.7601,-95.3701,79,1.89,12.58,34.63,5.84,20.95,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000109,29.7601,-95.3701,79,1.71,11.41,29.71,10.75,23.03,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000110,29.7601,-95.3701,79,1.58,2.69,24.31,15.53,23.43,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,29.7601,-95.3701,79,1.7,13.68,29.16,13.28,25.62,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,29.7601,-95.3701,79,2.66,17.83,33.1,9.41,26.16,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000113,29.7601,-95.3701,79,1.75,14.72,32.44,9.07,27,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000114,29.7601,-95.3701,79,2.7,-1.11,30.93,14.6,18.78,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000115,29.7601,-95.3701,79,2.19,10.69,32.34,13.27,22.47,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000116,29.7601,-95.3701,79,2.1,13.95,31.76,12.57,23.23,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000117,29.7601,-95.3701,79,1.68,13.94,29.72,12.34,25.47,11.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000118,29.7601,-95.3701,79,2.13,15.27,29.75,14.34,26.65,13.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000119,29.7601,-95.3701,79,2.28,14.64,30.97,13.47,27.14,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000120,29.7601,-95.3701,79,2.12,2.14,25.94,15.68,19.57,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000121,29.7601,-95.3701,79,2.47,4.29,32.94,4.73,17.09,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000122,29.7601,-95.3701,79,2.63,15.76,31.83,9.43,25.03,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000123,29.7601,-95.3701,79,1.74,13.01,32.89,9.14,25.2,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000124,29.7601,-95.3701,79,1.88,1.35,28.15,13.97,15.64,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000125,29.7601,-95.3701,79,1.72,0.38,30.31,13.69,17.71,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000126,29.7601,-95.3701,79,2.36,-2.35,32.21,4.94,13.51,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000127,29.7601,-95.3701,79,3.88,4.36,32.1,2.62,16.27,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000128,29.7601,-95.3701,79,3.16,-1.32,30.63,5.43,9.17,-0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000129,29.7601,-95.3701,79,2.05,-2.9,30.81,7.98,9.15,-2.76,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.153846154
20000130,29.7601,-95.3701,79,1.46,-2.01,29.55,10.15,10.77,-3.09,1,1,1,1,1,1,0,1,1,1,0,1,1,11,0.846153846
20000131,29.7601,-95.3701,79,1.59,0.89,31.05,11.94,12.74,-0.66,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0.153846154
20000201,29.7601,-95.3701,79,2,4.92,30.59,5.83,13.9,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000202,29.7601,-95.3701,79,1.54,3.96,30.47,6.11,13.37,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000203,29.7601,-95.3701,79,1.59,5.58,27.68,17.08,21.02,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000204,29.7601,-95.3701,79,2.58,0.88,23.67,17.16,18.16,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000205,29.7601,-95.3701,79,1.44,-1.47,26.93,17.09,14.53,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000206,29.7601,-95.3701,79,1.82,6.41,32.28,9.19,19.56,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000207,29.7601,-95.3701,79,1.34,13.36,32.4,7.93,19.48,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000208,29.7601,-95.3701,79,1.46,7.1,26.01,15.92,21.92,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000209,29.7601,-95.3701,79,2.04,10.45,30.6,14.27,24.14,6.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000210,29.7601,-95.3701,79,2.79,15.24,30.71,15.04,26.38,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000211,29.7601,-95.3701,79,1.6,16.89,33.1,12.8,24.63,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000212,29.7601,-95.3701,79,1.83,12.67,33.4,13.25,24.54,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000213,29.7601,-95.3701,79,2.13,14.51,32.17,8.77,27.29,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000214,29.7601,-95.3701,79,1.15,7.31,29.22,18,25.17,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000215,29.7601,-95.3701,79,2.01,15.85,31.9,15.99,28.13,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000216,29.7601,-95.3701,79,1.59,17.67,33.97,8.73,27.32,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000217,29.7601,-95.3701,79,2.77,17.46,33.94,10.56,26.26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000218,29.7601,-95.3701,79,2.71,16.68,34.87,9.3,28.13,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000219,29.7601,-95.3701,79,2.51,2.37,32.16,16.35,21.1,8.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000220,29.7601,-95.3701,79,1.6,4.46,29.89,19.36,21.42,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000221,29.7601,-95.3701,79,2.13,11.33,30.95,18.56,25.17,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000222,29.7601,-95.3701,79,3.12,15.48,32.21,12.16,25.25,14.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000223,29.7601,-95.3701,79,3.12,17.28,33.27,10.8,24.95,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000224,29.7601,-95.3701,79,3.17,16.57,31.92,16.75,26.6,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000225,29.7601,-95.3701,79,4.07,17.64,33.9,9.98,25.33,18.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000226,29.7601,-95.3701,79,2.56,11.35,32.88,8.65,22.27,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000227,29.7601,-95.3701,79,1.39,2.75,29.59,20.9,23.88,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000228,29.7601,-95.3701,79,2.34,8.93,30.91,19.9,24.02,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000229,29.7601,-95.3701,79,2.75,16.44,33.92,10.88,27.55,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000301,29.7601,-95.3701,79,1.22,17.71,33.64,14.18,26.29,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000302,29.7601,-95.3701,79,2.8,17.74,33.82,15.98,25.79,17.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000303,29.7601,-95.3701,79,2.5,10.57,32.21,17.63,23.64,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000304,29.7601,-95.3701,79,1.66,5.51,29.26,21.1,21.61,5.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000305,29.7601,-95.3701,79,1.91,10.71,31.66,15.51,24.93,8.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000306,29.7601,-95.3701,79,2.51,16.05,33.57,12.52,28.09,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000307,29.7601,-95.3701,79,3.42,17.11,33.54,16.26,28.49,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000308,29.7601,-95.3701,79,2.13,18.77,34.16,12.78,29.9,19.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000309,29.7601,-95.3701,79,1.17,18.19,31.65,18.57,30.25,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000310,29.7601,-95.3701,79,2.34,18.58,34.08,13.21,28.72,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000311,29.7601,-95.3701,79,3.81,2.56,30.23,22.93,18,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000312,29.7601,-95.3701,79,1.18,2.72,28.42,22.68,20.43,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000313,29.7601,-95.3701,79,1.74,8.14,31.19,21.46,24.16,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000314,29.7601,-95.3701,79,2.68,14.5,31.82,3.73,19.26,13.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000315,29.7601,-95.3701,79,1.34,16.27,32.49,12.73,21.84,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000316,29.7601,-95.3701,79,0.92,13.19,29.57,21.78,27.84,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000317,29.7601,-95.3701,79,1.88,10.88,32.46,17.46,20.91,10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000318,29.7601,-95.3701,79,1.52,14.81,32.07,8.26,26.62,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000319,29.7601,-95.3701,79,3.38,4.36,29.25,22.5,19.29,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000320,29.7601,-95.3701,79,2.41,6.53,29.54,23.66,24.77,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000321,29.7601,-95.3701,79,3.44,17.03,34.39,4.89,22.93,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000322,29.7601,-95.3701,79,3.3,18.15,35.93,9.69,27.64,18.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
