Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,39.7691,-86.158,719,2.58,2.09,25.41,8.83,10.01,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,39.7691,-86.158,719,5.8,9.57,30.47,1.75,14.78,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,39.7691,-86.158,719,4.03,7.84,26.92,1.49,15.61,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,39.7691,-86.158,719,5.75,-4.36,26.78,2.13,4.14,-4.99,1,1,1,1,1,1,1,1,1,0,1,1,1,12,0.923076923
20000105,39.7691,-86.158,719,2.9,-7.59,26.77,2.95,-0.09,-6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000106,39.7691,-86.158,719,4.1,-4.23,23.44,9.75,5.59,-3.64,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0.230769231
20000107,39.7691,-86.158,719,2.88,-6.48,21.28,9.81,0.78,-5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000108,39.7691,-86.158,719,4,-4.13,24.42,5.13,3.41,-5.04,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000109,39.7691,-86.158,719,2.62,1.96,26.28,3.03,8.33,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000110,39.7691,-86.158,719,6.26,1.12,25.01,7.69,9.59,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,39.7691,-86.158,719,5.18,-5.39,22.3,9.65,3.47,-3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,39.7691,-86.158,719,2.51,-4.21,24.67,9.74,5.57,-4.11,0,0,0,1,0,0,1,0,1,0,1,0,0,4,0.307692308
20000113,39.7691,-86.158,719,4.82,-5.32,24.85,3.06,1.69,-5.49,1,0,1,1,1,1,1,0,1,0,1,1,0,9,0.692307692
20000114,39.7691,-86.158,719,2.02,-7.27,23.93,8.53,-0.06,-5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
