Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,40.7128,-74.006,33,3.45,3.99,24.48,6,8.84,3.06,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000102,40.7128,-74.006,33,4.35,7.18,28.07,5.05,9.57,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,40.7128,-74.006,33,3.78,9.23,29.33,4.12,12.4,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,40.7128,-74.006,33,7.01,10.81,28.56,1.46,13.75,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,40.7128,-74.006,33,6.63,-1.6,21.26,8.46,7.23,-0.44,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000106,40.7128,-74.006,33,3.63,-2.29,20.22,9.24,5.72,-0.97,0,1,0,0,1,0,0,1,1,0,0,0,1,5,0.384615385
20000107,40.7128,-74.006,33,4.84,2.15,21.91,7.65,8.26,1.49,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000108,40.7128,-74.006,33,4.29,-3.23,20.76,8.74,3.82,-0.06,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000109,40.7128,-74.006,33,3.67,2.86,24.57,7.04,8.17,3.56,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000110,40.7128,-74.006,33,6.54,7.42,24.76,1.4,12.61,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,40.7128,-74.006,33,7.72,2.96,23.83,5.17,8.91,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,40.7128,-74.006,33,6.18,-0.39,21.28,9.69,7.08,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.076923077
20000113,40.7128,-74.006,33,6.09,-1.87,26.04,1.23,4.2,-4.97,1,1,1,0,1,1,0,1,1,1,0,1,1,10,0.769230769
20000114,40.7128,-74.006,33,9.12,-8.64,21.83,8.71,-3.77,-6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000115,40.7128,-74.006,33,3.8,-8.56,21.37,6.55,-0.25,-5.73,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000116,40.7128,-74.006,33,8.15,-1.74,22.22,7.15,6.96,-2.97,1,1,1,1,1,1,0,1,1,1,0,0,1,10,0.769230769
20000117,40.7128,-74.006,33,10.27,-11.59,19.33,9.62,-4.25,-11.34,0,0,1,0,0,1,1,0,0,0,0,1,0,4,0.307692308
20000118,40.7128,-74.006,33,5.5,-10.45,19.34,7.56,-5.27,-11.48,1,1,1,1,0,1,1,1,0,1,0,1,0,9,0.692307692
20000119,40.7128,-74.006,33,4.57,-8.79,18.86,9.83,-0.69,-7.31,0,1,0,0,0,0,0,1,0,1,0,0,1,4,0.307692308
20000120,40.7128,-74.006,33,5.71,-4.75,23.07,2.79,0.34,-3.48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000121,40.7128,-74.006,33,10.49,-9.72,17.93,9.49,-2.95,-9.39,0,0,1,0,0,1,1,0,0,0,0,1,0,4,0.307692308
20000122,40.7128,-74.006,33,7.2,-10.46,18,10.72,-4.74,-9.32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.076923077
20000123,40.7128,-74.006,33,2.96,-5.75,20.98,5.45,-0.44,-5.7,0,1,1,1,1,0,1,1,1,1,1,1,1,11,0.846153846
20000124,40.7128,-74.006,33,4.25,-2.36,22.35,7.9,2.65,-2.47,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000125,40.7128,-74.006,33,9.73,-1.7,21.53,3.96,0.94,-1.89,1,1,0,0,1,0,0,1,1,1,0,0,1,7,0.538461538
20000126,40.7128,-74.006,33,6.52,-5.21,18.71,9.44,-0.32,-5.75,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000127,40.7128,-74.006,33,7.79,-9.13,17.07,10.67,-5.9,-8.9,0,0,0,1,1,0,1,1,1,0,1,1,1,8,0.615384615
20000128,40.7128,-74.006,33,7.94,-9.64,15.64,11.52,-4.93,-10.3,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000129,40.7128,-74.006,33,4.7,-8.05,17.21,12.31,0.31,-8.63,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000130,40.7128,-74.006,33,2.95,-5.44,20.16,6.23,2.86,-6.21,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000131,40.7128,-74.006,33,7.2,-1.09,22.87,7.8,4.97,-2.12,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000201,40.7128,-74.006,33,6.6,-3.67,19.63,11.31,0.63,-3.63,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000202,40.7128,-74.006,33,8.05,-7.16,16.52,12.79,-2.49,-6.22,0,1,0,0,1,0,0,1,1,1,0,0,1,6,0.461538462
20000203,40.7128,-74.006,33,2.99,-6.32,21.98,4.53,1.4,-6.41,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000204,40.7128,-74.006,33,2.4,-3.31,22.67,5.54,0.17,-3.78,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000205,40.7128,-74.006,33,5.47,-3.35,18.67,12.93,0.53,-2.45,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000206,40.7128,-74.006,33,6.33,-4.03,18.82,12.89,1.19,-2.57,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000207,40.7128,-74.006,33,6.73,-1.85,19.95,11.64,3.65,-2.29,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000208,40.7128,-74.006,33,3.96,-8.96,18.26,13.74,-1.6,-6.45,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000209,40.7128,-74.006,33,5.3,-0.4,21.14,12.98,5.39,-1.98,1,1,0,0,1,1,0,1,1,1,0,0,1,8,0.615384615
20000210,40.7128,-74.006,33,3.17,1.71,24.66,11.58,6.61,-0.01,0,1,0,0,0,0,0,1,0,1,0,0,1,4,0.307692308
20000211,40.7128,-74.006,33,4.45,2.42,25.58,4.6,7.01,-0.61,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0.153846154
20000212,40.7128,-74.006,33,4.19,-7.71,19.64,9.82,-0.07,-3.26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.076923077
20000213,40.7128,-74.006,33,3.42,-3.02,22.44,8.36,4.99,-2.41,0,1,0,0,1,1,0,1,1,1,0,0,1,7,0.538461538
20000214,40.7128,-74.006,33,5.16,6.1,26.73,7.12,9.55,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000215,40.7128,-74.006,33,5.55,-3.05,18.94,14.86,4.52,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000216,40.7128,-74.006,33,4.84,1.15,24.23,11.84,8.22,1.45,0,1,0,0,0,1,0,1,0,1,0,0,0,4,0.307692308
