Date,Latitude,Longitude,alt,WS2M,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,FROST,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,COUNT,AREA
20000101,35.7796,-78.6382,315,0.44,5.72,22.74,11.86,14.3,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000102,35.7796,-78.6382,315,0.4,11.1,27.24,9.56,18.17,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000103,35.7796,-78.6382,315,0.44,13.01,29.2,10.5,19.83,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000104,35.7796,-78.6382,315,0.82,14.49,32.09,6.93,20.82,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000105,35.7796,-78.6382,315,0.66,-1.82,20.28,12.5,8.12,-2.25,1,0,1,1,0,1,0,0,1,0,0,0,0,5,0.384615385
20000106,35.7796,-78.6382,315,0.35,0.61,22.41,10.64,10.36,-4.13,0,1,0,0,1,0,0,1,0,1,0,0,1,5,0.384615385
20000107,35.7796,-78.6382,315,0.45,2.42,22.71,9.51,11.8,-0.71,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0.230769231
20000108,35.7796,-78.6382,315,0.34,-1.85,25.16,9.7,9.74,-3.03,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000109,35.7796,-78.6382,315,0.31,4.03,27.36,4.69,8.46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000110,35.7796,-78.6382,315,0.66,9.42,26.68,5.23,17.72,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000111,35.7796,-78.6382,315,0.75,3.64,21.2,12.74,15.98,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000112,35.7796,-78.6382,315,0.33,0.81,22.76,12.67,13.43,-0.72,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0.230769231
20000113,35.7796,-78.6382,315,0.95,5.25,22.97,8.7,18.17,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000114,35.7796,-78.6382,315,0.67,-7.74,21.24,12.44,3.24,-5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000115,35.7796,-78.6382,315,0.37,-7.03,21.6,12.5,4.3,-6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000116,35.7796,-78.6382,315,0.69,2.22,23.62,9.88,12.16,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000117,35.7796,-78.6382,315,0.53,-6.21,19.45,13.31,3.24,-4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000118,35.7796,-78.6382,315,0.35,-5.5,22.09,2.82,-0.28,-4.62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076923077
20000119,35.7796,-78.6382,315,0.49,-3.67,18.86,8.28,2.97,-3.59,0,1,0,1,1,0,1,1,1,0,1,0,1,8,0.615384615
20000120,35.7796,-78.6382,315,0.96,-3.25,20.35,9.46,4.77,-4.31,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000121,35.7796,-78.6382,315,0.81,-10.44,16.51,13.93,-0.38,-6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000122,35.7796,-78.6382,315,0.29,-9.36,19.69,8.01,0.64,-6.82,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0.153846154
20000123,35.7796,-78.6382,315,0.34,-4.07,19.57,2.85,-0.7,-4.87,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000124,35.7796,-78.6382,315,0.94,-2.73,21.35,4.62,0.99,-5.89,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000125,35.7796,-78.6382,315,1.21,-4.42,21.51,4.04,-1.63,-9.24,1,1,1,1,1,1,1,1,1,1,1,1,0,12,0.923076923
20000126,35.7796,-78.6382,315,0.52,-6.5,17.75,11.99,-1.35,-9.64,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000127,35.7796,-78.6382,315,0.54,-10.58,17.63,13.84,-3.33,-14.81,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000128,35.7796,-78.6382,315,0.79,-12.69,18.61,11.33,-3.87,-19.02,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000129,35.7796,-78.6382,315,0.44,-8.37,19.72,10.51,-1.34,-16.94,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000130,35.7796,-78.6382,315,0.51,-3.06,21.72,1.62,0.26,-4.88,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000131,35.7796,-78.6382,315,0.48,-3.74,18.45,15.07,0.03,-8.72,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
20000201,35.7796,-78.6382,315,0.53,-4.27,17.21,13.71,0.2,-10.39,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1
